ՏԸՀ N,տեղամաս N,total,part_11,part_14,part_17,part_20
Թիվ 4 ԸԸՀ,42,1804,91,286,442,572
Թիվ 4 ԸԸՀ,43,1818,102,296,461,596
Թիվ 4 ԸԸՀ,44,1779,90,279,470,600
Թիվ 4 ԸԸՀ,45,1631,92,265,390,501
Թիվ 4 ԸԸՀ,46,1689,99,283,470,600
Թիվ 4 ԸԸՀ,47,1451,62,197,320,441
Թիվ 4 ԸԸՀ,48,1523,62,230,384,500
Թիվ 4 ԸԸՀ,49,1523,97,259,415,528
Թիվ 4 ԸԸՀ,50,1953,94,246,393,534
Թիվ 4 ԸԸՀ,51,1907,153,367,523,648
Թիվ 4 ԸԸՀ,52,1808,108,317,480,632
Թիվ 4 ԸԸՀ,53,1801,106,274,420,559
Թիվ 4 ԸԸՀ,54,1804,71,247,442,605
,,,,,,
Ընդ.,54,94537,5413,14192,22334,29301
Թիվ 5 ԸԸՀ,1,1924,116,236,364,513
Թիվ 5 ԸԸՀ,2,1911,118,238,412,554
Թիվ 5 ԸԸՀ,3,1902,100,242,373,516
Թիվ 5 ԸԸՀ,4,1839,125,329,510,666
Թիվ 5 ԸԸՀ,5,1875,108,231,394,526
Թիվ 5 ԸԸՀ,6,1901,126,318,493,669
Թիվ 5 ԸԸՀ,7,1833,150,314,487,606
Թիվ 5 ԸԸՀ,8,1960,138,319,526,693
Թիվ 5 ԸԸՀ,9,1584,128,296,414,632
Թիվ 5 ԸԸՀ,10,1868,98,241,342,490
Թիվ 5 ԸԸՀ,11,1494,92,230,335,434
Թիվ 5 ԸԸՀ,12,1594,100,242,348,488
Թիվ 5 ԸԸՀ,13,1571,117,251,404,544
Թիվ 5 ԸԸՀ,14,1577,105,235,349,480
Թիվ 5 ԸԸՀ,15,1590,110,271,408,537
Թիվ 5 ԸԸՀ,16,1695,129,274,430,559
Թիվ 5 ԸԸՀ,17,1962,158,338,465,599
Թիվ 5 ԸԸՀ,18,1720,148,339,475,619
Թիվ 5 ԸԸՀ,19,1684,127,284,420,584
,,,,,,
Ընդ.,19,33484,2293,5228,7949,10709
Թիվ 6 ԸԸՀ,1,1683,87,241,388,544
Թիվ 6 ԸԸՀ,2,1804,108,261,389,535
Թիվ 6 ԸԸՀ,3,1464,107,282,409,534
Թիվ 6 ԸԸՀ,4,1727,113,311,428,544
Թիվ 6 ԸԸՀ,5,1581,82,225,359,471
Թիվ 6 ԸԸՀ,6,1819,155,308,422,585
Թիվ 6 ԸԸՀ,7,1765,101,237,340,461
Թիվ 6 ԸԸՀ,8,1807,67,155,250,351
Թիվ 6 ԸԸՀ,9,1833,114,232,337,466
Թիվ 6 ԸԸՀ,10,1854,96,228,301,393
Թիվ 6 ԸԸՀ,11,1072,61,167,253,335
Թիվ 6 ԸԸՀ,12,1593,100,210,319,459
Թիվ 6 ԸԸՀ,13,1379,139,331,450,540
Թիվ 6 ԸԸՀ,14,1979,106,295,430,539
Թիվ 6 ԸԸՀ,15,1767,100,263,390,551
Թիվ 6 ԸԸՀ,16,1460,87,245,346,459
Թիվ 6 ԸԸՀ,17,1415,102,231,329,430
Թիվ 6 ԸԸՀ,18,1545,104,260,406,518
Թիվ 6 ԸԸՀ,19,1454,82,224,348,450
Թիվ 6 ԸԸՀ,20,1120,64,170,259,322
Թիվ 6 ԸԸՀ,21,1701,100,270,415,552
Թիվ 6 ԸԸՀ,22,1535,95,240,345,473
Թիվ 6 ԸԸՀ,23,1374,69,228,331,436
Թիվ 6 ԸԸՀ,24,1841,117,273,399,569
Թիվ 6 ԸԸՀ,25,1720,96,227,343,467
Թիվ 6 ԸԸՀ,26,1881,74,211,363,495
Թիվ 6 ԸԸՀ,27,1742,90,216,346,480
Թիվ 6 ԸԸՀ,28,1592,98,245,376,484
Թիվ 6 ԸԸՀ,29,1761,103,243,374,486
Թիվ 6 ԸԸՀ,30,1763,97,283,384,507
Թիվ 6 ԸԸՀ,31,1598,95,230,340,460
Թիվ 6 ԸԸՀ,32,1523,89,199,304,386
Թիվ 6 ԸԸՀ,33,1844,130,260,386,547
Թիվ 6 ԸԸՀ,34,1790,70,220,331,465
Թիվ 6 ԸԸՀ,35,1260,72,168,250,350
Թիվ 6 ԸԸՀ,36,1727,100,227,347,481
Թիվ 6 ԸԸՀ,37,1743,70,224,365,502
Թիվ 6 ԸԸՀ,38,1476,47,126,212,332
Թիվ 6 ԸԸՀ,39,1574,83,197,325,447
Թիվ 6 ԸԸՀ,40,1254,65,140,220,310
Թիվ 6 ԸԸՀ,41,1366,45,110,214,297
Թիվ 6 ԸԸՀ,42,1850,70,173,284,401
Թիվ 6 ԸԸՀ,43,1964,64,151,245,307
Թիվ 6 ԸԸՀ,44,1769,80,162,250,342
Թիվ 6 ԸԸՀ,45,1648,54,107,166,262
Թիվ 6 ԸԸՀ,46,1617,65,175,278,408
Թիվ 6 ԸԸՀ,47,1204,33,110,188,260
Թիվ 6 ԸԸՀ,48,750,38,118,183,226
Թիվ 6 ԸԸՀ,49,1413,119,267,378,478
Թիվ 6 ԸԸՀ,50,1467,79,237,350,476
Թիվ 6 ԸԸՀ,51,1499,100,309,445,564
Թիվ 6 ԸԸՀ,52,1647,88,255,371,492
,,,,,,
Ընդ.,52,83014,4570,11477,17261,23229
Թիվ 7 ԸԸՀ,1,1763,143,262,374,527
Թիվ 7 ԸԸՀ,2,1680,103,215,321,416
Թիվ 7 ԸԸՀ,3,1809,105,222,315,455
Թիվ 7 ԸԸՀ,4,1606,68,188,315,417
Թիվ 7 ԸԸՀ,5,1933,98,252,335,459
Թիվ 7 ԸԸՀ,6,1622,105,232,369,477
Թիվ 7 ԸԸՀ,7,1883,104,223,344,465
Թիվ 7 ԸԸՀ,8,1858,111,248,344,521
Թիվ 7 ԸԸՀ,9,1842,121,272,384,510
Թիվ 7 ԸԸՀ,10,1854,111,249,382,508
Թիվ 7 ԸԸՀ,11,1856,85,191,295,438
Թիվ 7 ԸԸՀ,12,1856,112,240,337,462
Թիվ 7 ԸԸՀ,13,1877,97,204,330,431
Թիվ 7 ԸԸՀ,14,1860,119,263,375,493
Թիվ 7 ԸԸՀ,15,2000,163,324,448,597
Թիվ 7 ԸԸՀ,16,1925,131,270,385,515
Թիվ 7 ԸԸՀ,17,1846,100,223,318,423
Թիվ 7 ԸԸՀ,18,1505,92,189,285,416
Թիվ 7 ԸԸՀ,19,1540,88,214,329,429
Թիվ 7 ԸԸՀ,20,1948,123,274,371,496
Թիվ 7 ԸԸՀ,21,1523,65,165,270,358
Թիվ 7 ԸԸՀ,22,1687,91,235,339,432
Թիվ 7 ԸԸՀ,23,1795,56,180,302,408
Թիվ 7 ԸԸՀ,24,1301,66,168,263,356
Թիվ 7 ԸԸՀ,25,1753,83,183,282,404
Թիվ 7 ԸԸՀ,26,1870,96,205,300,426
Թիվ 7 ԸԸՀ,27,1703,69,164,264,376
Թիվ 7 ԸԸՀ,28,1944,111,252,360,485
Թիվ 7 ԸԸՀ,29,1990,89,233,378,504
Թիվ 7 ԸԸՀ,30,1837,82,200,334,480
Թիվ 7 ԸԸՀ,31,1799,98,212,313,419
Թիվ 7 ԸԸՀ,32,1829,138,283,413,551
Թիվ 7 ԸԸՀ,33,1803,73,170,331,477
Թիվ 7 ԸԸՀ,34,1662,86,205,318,420
Թիվ 7 ԸԸՀ,35,1689,66,158,270,397
Թիվ 7 ԸԸՀ,36,1679,106,223,350,440
Թիվ 7 ԸԸՀ,37,1861,86,223,331,447
Թիվ 7 ԸԸՀ,38,1833,119,253,377,485
Թիվ 7 ԸԸՀ,39,1903,91,246,400,539
Թիվ 7 ԸԸՀ,40,1887,103,206,324,439
Թիվ 7 ԸԸՀ,41,1742,101,214,318,421
Թիվ 7 ԸԸՀ,42,1707,103,241,338,445
Թիվ 7 ԸԸՀ,43,1873,95,230,341,461
Թիվ 7 ԸԸՀ,44,1910,144,269,397,539
Թիվ 7 ԸԸՀ,45,1888,115,260,391,497
Թիվ 7 ԸԸՀ,46,1896,131,302,433,544
Թիվ 7 ԸԸՀ,47,1915,130,251,370,493
Թիվ 7 ԸԸՀ,48,1898,141,334,468,610
Թիվ 7 ԸԸՀ,49,1736,110,258,415,506
Թիվ 7 ԸԸՀ,50,1826,116,284,408,525
Թիվ 7 ԸԸՀ,51,1740,96,212,328,450
Թիվ 7 ԸԸՀ,52,1241,75,157,259,360
Թիվ 7 ԸԸՀ,53,1462,107,206,294,372
Թիվ 7 ԸԸՀ,54,1413,91,189,286,383
Թիվ 7 ԸԸՀ,55,1826,97,214,313,439
Թիվ 7 ԸԸՀ,56,1776,90,211,311,414
Թիվ 7 ԸԸՀ,57,1748,110,206,302,412
Թիվ 7 ԸԸՀ,58,1698,100,222,331,444
Թիվ 7 ԸԸՀ,59,1781,113,276,400,523
Թիվ 7 ԸԸՀ,60,1830,60,132,256,354
,,,,,,
Ընդ.,60,106317,6078,13587,20434,27490
Թիվ 8 ԸԸՀ,1,1762,103,235,337,418
Թիվ 8 ԸԸՀ,2,1436,126,218,334,442
Թիվ 8 ԸԸՀ,3,1497,133,271,395,489
Թիվ 8 ԸԸՀ,4,1873,139,286,425,529
Թիվ 8 ԸԸՀ,5,1825,93,256,378,500
Թիվ 8 ԸԸՀ,6,1818,122,247,383,489
Թիվ 8 ԸԸՀ,7,1748,127,269,393,508
Թիվ 8 ԸԸՀ,8,1762,125,242,380,512
Թիվ 8 ԸԸՀ,9,1758,107,235,357,471
Թիվ 8 ԸԸՀ,10,1782,143,298,451,550
Թիվ 8 ԸԸՀ,11,1828,101,243,366,474
Թիվ 8 ԸԸՀ,12,1879,126,336,458,587
Թիվ 8 ԸԸՀ,13,1757,110,254,395,531
Թիվ 8 ԸԸՀ,14,1563,92,216,346,456
Թիվ 8 ԸԸՀ,15,1823,105,237,348,461
Թիվ 8 ԸԸՀ,16,1816,108,236,380,510
Թիվ 8 ԸԸՀ,17,1896,116,285,407,540
Թիվ 8 ԸԸՀ,18,1732,90,205,341,476
