Մարզ,Բնակավայր,Նախկին,Ընտրատարածք,Ընտրատեղամաս,Հասցե
Երևան,Ավան,,1,1/1,"Թիվ 51 մ/մանկապարտեզ, Ավան 6 փ. 52/1 շենք"
Երևան,Ավան,,1,1/2,"Թիվ 51 մ/մանկապարտեզ, Ավան 6 փ. 52/1 շենք"
Երևան,Ավան,,1,1/3,"Թիվ 87 դպրոց, Խուդյակով 44"
Երևան,Ավան,,1,1/4,"Թիվ 87 դպրոց, Խուդյակով 44"
Երևան,Ավան,,1,1/5,"Թիվ 104 դպրոց, Աճառյան 5"
Երևան,Ավան,,1,1/6,"Օհանյանի անվան հիմնական դպրոց, Աճառյան 15"
Երևան,Ավան,,1,1/7,"Թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1մ/շ, 1/14"
Երևան,Ավան,,1,1/8,"Թիվ 56 մ/մանկապարտեզ, Ավան Առինջ թաղ. 1մ/շ, 1/14"
Երևան,Ավան,,1,1/9,"Թիվ 180 դպրոց, Ավան Առինջ թաղ. 2մ/շ"
Երևան,Ավան,,1,1/10,"Թիվ 55 մ/մանկապարտեզ, Ավան Առինջ թաղ. 2մ/շ, 1/6"
Երևան,Ավան,,1,1/11,"Նախկին հ․7մ/մանկապարտեզ, Ավան Առինջ թաղ. 1մ/շ "
Երևան,Ավան,,1,1/12,"Ավանի շախմատի մանկա­պա­տանեկան մարզադպրոց, Նարեկացի թաղամաս 38"
Երևան,Ավան,,1,1/13,"Ավանի մշակույթի տուն, Բաբաջանյան 18/13"
Երևան,Ավան,,1,1/14,"Գ.Բուդաղյանի անվան դպրոց, Թումանյան թաղամաս 3"
Երևան,Ավան,,1,1/15,"Թիվ 170 դպրոց, Թումանյան թաղամաս 3"
Երևան,Ավան,,1,1/16,"Թիվ 52 մ/մանկապարտեզ, Իսահակյան թաղամաս 2/4"
Երևան,Ավան,,1,1/17,"Թիվ 171 դպրոց, Իսահակյան թաղամաս"
Երևան,Ավան,,1,1/18,"Ավանի մանկապատանեկան համալիր մարզադպրոց, Խուդյակով 214"
Երևան,Ավան,,1,1/19,"Գ.Ստարովոյտովայի անվան թիվ 177 դպրոց, Դուրյան թաղամաս 24"
Երևան,Ավան,,1,1/20,"ԵՊՀ մասնաճյուղ, Ծարավ Աղբյուր 55"
Երևան,Ավան,,1,1/21,"Թիվ 54 մ/մանկապարտեզ, Դուրյան թաղամաս 35/1"
Երևան,Ավան,,1,1/22,"Թիվ 57 մ/մանկապարտեզ, Դուրյան թաղամաս 52"
Երևան,Ավան,,1,1/23,"Թիվ 54 մ/մանկապարտեզ, Դուրյան թաղ. 35/1 "
Երևան,Նոր Նորք,,2,2/1,"«Երևանի Ռուդոլֆ Կարապետյանի անվան մանկապատանեկան համալիր մարզադպրոց» ՀՈԱԿ, Նոր Նորքի 3-րդ զանգված, Բաղյան փող., 5/3 շենք"
Երևան,Նոր Նորք,,2,2/2,"Հ.143 հիմնական դպրոց, Բաղյան 5"
Երևան,Նոր Նորք,,2,2/3,"Հ.143 հիմնական դպրոց, Բաղյան 5"
Երևան,Նոր Նորք,,2,2/4,"Ասլամազյանի անվան երաժշտական դպրոց, Գյուլիքեխվյան 6"
Երևան,Նոր Նորք,,2,2/5,"Հ. 107 մանկապարտեզ, Բակունցի 4"
Երևան,Նոր Նորք,,2,2/6,"Հ.150 հիմնական դպրոց, Բակունցի 6"
Երևան,Նոր Նորք,,2,2/7,"Հ. 109 մսուր-մանկապարտեզ, Բակունցի 2-րդ նրբ. 25/4"
Երևան,Նոր Նորք,,2,2/8,"Հ.108 մսուր-մանկապարտեզ, Բակունցի 1-ին նրբ. 7/2"
Երևան,Նոր Նորք,,2,2/9,"Հ.141 հիմնական դպրոց, Գյուլիքեխվյան 27"
Երևան,Նոր Նորք,,2,2/10,"Հ. 110 մսուր-մանկապարտեզ, Ջրվեժ, Մայակ թաղ. 6"
Երևան,Նոր Նորք,,2,2/11,"Հ. 187 միջնակարգ դպրոց, Ջրվեժ Մայակ 30/1"
Երևան,Նոր Նորք,,2,2/12,"Հ. 187 միջնակարգ դպրոց, Ջրվեժ Մայակ 30/1"
Երևան,Նոր Նորք,,2,2/13,"Հ. 111 մսուր-մանկապարտեզ, Մառի 1/2"
Երևան,Նոր Նորք,,2,2/14,"Հ.166 հիմնական դպրոց, Մառի 8 "
Երևան,Նոր Նորք,,2,2/15,"Հ. 112 մսուր-մանկապարտեզ, Մառի 38/3"
Երևան,Նոր Նորք,,2,2/16,"Ճարտարապետության եվ շինարարության պետական քոլեջ, Մառի 17/1"
Երևան,Նոր Նորք,,2,2/17,"Հ. 113 մսուր-մանկապարտեզ, Գալշոյան փ․ 62"
Երևան,Նոր Նորք,,2,2/18,"Ա. Շիրակացու անվան ճեմարան, Մուշեղ Գալշոյան 15"
Երևան,Նոր Նորք,,2,2/19,"հ.159 ավագ դպրոց, Գալշոյան փ. "
Երևան,Նոր Նորք,,2,2/20,"Հ. 114 մսուր-մանկապարտեզ, Շոպրոնի 6"
Երևան,Նոր Նորք,,2,2/21,"Հ. 163 հիմնական դպրոց, Գյուրջյան 13"
Երևան,Նոր Նորք,,2,2/22,"Հ. 163 հիմնական դպրոց, Գյուրջյան 13"
Երևան,Նոր Նորք,,2,2/23,"Մշակույթի կենտրոն, Լյուքսեմբուրգի 2-րդ նրբ."
Երևան,Նոր Նորք,,2,2/24,"Հ. 88 դպրոց, Կարախանյան 11"
Երևան,Նոր Նորք,,2,2/25,"Հ. 88 դպրոց, Կարախանյան 11"
Երևան,Նոր Նորք,,2,2/26,"Նախկին հ. 22 մանկապարտեզ, Հ. Ավետիսյան 5/1"
Երևան,Նոր Նորք,,2,2/27,"Հ.117 մսուր-մանկապարտեզ, Կարախանյան 21"
Երևան,Նոր Նորք,,2,2/28,"Հ.118 մսուր-մանկապարտեզ, Վիլնյուսի 121"
Երևան,Նոր Նորք,,2,2/29,"Հ. 186 հիմնական դպրոց, Մինսկի 95"
Երևան,Նոր Նորք,,2,2/30,"Հ. 186 հիմնական դպրոց, Մինսկի 95"
Երևան,Նոր Նորք,,2,2/31,"Հ. 118 մսուր-մանկապարտեզ, Նոր Նորքի 8-րդ զանգված, Վիլնյուսի փող., 121 շենք"
Երևան,Նոր Նորք,,2,2/32,"Հ. 119 մսուր-մանկապարտեզ, Վիլնյուսի 43/2"
Երևան,Նոր Նորք,,2,2/33,"Հ. 120 մանկապարտեզ, Վիլնյուսի 27/1"
Երևան,Նոր Նորք,,2,2/34,"Հ. 197 հիմնական դպրոց, Վիլնյուսի 59/5"
Երևան,Նոր Նորք,,2,2/35,"Հ. 197 հիմնական դպրոց, Վիլնյուսի 59/5"
Երևան,Նոր Նորք,,2,2/36,"հ.198 ավագ դպրոց, Վիլնյուսի 13/1"
Երևան,Նոր Նորք,,2,2/37,"հ.198 ավագ դպրոց, Վիլնյուսի 13/1"
Երևան,Նոր Նորք,,2,2/38,"Հրանտ Մաթևոսյանի անվան հ.96 դպրոց, Նոր Նորքի 2-րդ զանգված, Դավիթ Մալյան փող․, 24 շենք"
Երևան,Նոր Նորք,,2,2/39,"Հ.164 հիմնական դպրոց, Թոթովենցի 7"
Երևան,Նոր Նորք,,2,2/40,"Հ.103 մ/մանկապարտեզ, Թոթովենցի 3"
Երևան,Նոր Նորք,,2,2/41,"Հ. 104 մ/մանկապարտեզ, Գայի պող.5/1"
Երևան,Նոր Նորք,,2,2/42,"Հ. 164 դպրոց, Թոթովենցի 7"
Երևան,Նոր Նորք,,2,2/43,"Գագիկ Ստեփանյանի անվան 135 հիմնական դպրոց  դպրոց,  Նոր Նորքի 2-րդ զ․ Ն․ Ստեփանյան 5շ․"
Երևան,Նոր Նորք,,2,2/44,"Գագիկ Ստեփանյանի անվան 135 հիմնական դպրոց  դպրոց,  Նոր Նորքի 2-րդ զ․ Ն․ Ստեփանյան 5շ․"
Երևան,Նոր Նորք,,2,2/45,"Հ. 101 մսուր-մանկապարտեզ, Թոթովենցի 3/5"
Երևան,Նոր Նորք,,2,2/46,"Հ. 139 ավագ դպրոց, Ն.Ստեփանյան 3"
Երևան,Նոր Նորք,,2,2/47,"Հ. 139 ավագ դպրոց, Ն.Ստեփանյան 3"
Երևան,Նոր Նորք,,2,2/48,"Հ. 133 հիմնական դպրոց, Մոլդովական 35"
Երևան,Նոր Նորք,,2,2/49,"Տարածաշրջանային N2 պետ.քոլեջ, Մոլդովական 37Ա"
Երևան,Նոր Նորք,,2,2/50,"Տարածաշրջանային N2 պետ.քոլեջ, Մոլդովական 37Ա"
Երևան,Նոր Նորք,,2,2/51,"Հ. 134 հիմնական դպրոց, Նանսենի 14"
Երևան,Նոր Նորք,,2,2/52,"Հ. 100 մսուր-մանկապարտեզ, Նանսենի 22"
Երևան,Նոր Նորք,,2,2/53,"հ.98 մանկապարտեզ, Սաֆարյան 8"
Երևան,Նոր Նորք,,2,2/54,"Հ. 106 դպրոց, Նանսենի 11"
Երևան,Նոր Նորք,,2,2/55,"Հ. 106 դպրոց, Նանսենի 11"
Երևան,Նոր Նորք,,2,2/56,"Հ. 62 ավագ դպրոց, Նանսենի 6"
Երևան,Նոր Նորք,,2,2/57,"Հ. 62 ավագ դպրոց, Նանսենի 6"
Երևան,Քանաքեռ-Զեյթուն,,3,3/1,"Թիվ 157 մանկապարտեզ, Զ.Քանաքեռցու 14/3"
Երևան,Քանաքեռ-Զեյթուն,,3,3/2,"Խ.Աբովյանի անվան թիվ 84 դպրոց, Քանաքեռ 14փ. 1"
Երևան,Քանաքեռ-Զեյթուն,,3,3/3,"Խ.Աբովյանի անվան թիվ 84 դպրոց, Քանաքեռ 14փ. 1"
Երևան,Քանաքեռ-Զեյթուն,,3,3/4,"Թիվ 157 մանկապարտեզ, Զ.Քանաքեռցու 14/3"
Երևան,Քանաքեռ-Զեյթուն,,3,3/5,"Թիվ 85 դպրոցի 2-րդ մասնաշենք, Ծ.Աղբյուրի 21ա"
Երևան,Քանաքեռ-Զեյթուն,,3,3/6,"Հ. 3 տարածքային մանկավարժահոգեբանական աջակցման կենտրոն, Ծ.Աղբյուրի 14"
Երևան,Քանաքեռ-Զեյթուն,,3,3/7,"Ա.Տեր-Ղևոնդյանի անվան թիվ 1 դպրոց, 1-ին հարկ, Զ.Քանաքեռցու 48"
Երևան,Քանաքեռ-Զեյթուն,,3,3/8,"Թիվ 159 մանկապարտեզ, Զ.Քանաքեռցու 32"
Երևան,Քանաքեռ-Զեյթուն,,3,3/9,"Թիվ 160 մանկապարտեզ, Հասրաթյան 1"
Երևան,Քանաքեռ-Զեյթուն,,3,3/10,"Լ.Արիսյանի անվան թիվ 127 դպրոց, Պ.Սևակի 11"
Երևան,Քանաքեռ-Զեյթուն,,3,3/11,"Թիվ 156 մանկապարտեզ, Մ.Ավետիսյան 2-րդ փ."
Երևան,Քանաքեռ-Զեյթուն,,3,3/12,"Թիվ 149 մանկապարտեզ, Դրոյի 19"
Երևան,Քանաքեռ-Զեյթուն,,3,3/13,"Թիվ 44 դպրոց, Մ.Ավետիսյան 89"
Երևան,Քանաքեռ-Զեյթուն,,3,3/14,"Թիվ 136 դպրոց, Յ.Լեփսիուսի 6"
Երևան,Քանաքեռ-Զեյթուն,,3,3/15,"Թիվ 153 մանկապարտեզ, Յ.Լեփսիուսի 6 "
Երևան,Քանաքեռ-Զեյթուն,,3,3/16,"Թիվ 162 մանկապարտեզ, Մ.Ավետիսյան 4 փ. 20"
Երևան,Քանաքեռ-Զեյթուն,,3,3/17,"Թիվ 158 մանկապարտեզ, Դրոյի 16"
Երևան,Քանաքեռ-Զեյթուն,,3,3/18,"Թիվ 125 դպրոց, Պ.Սևակի 89"
Երևան,Քանաքեռ-Զեյթուն,,3,3/19,"Թիվ 125 դպրոց, Պ.Սևակի 89"
Երևան,Քանաքեռ-Զեյթուն,,3,3/20,"Թիվ 151 մանկապարտեզ, Նորաշխարհյան 9"
Երևան,Քանաքեռ-Զեյթուն,,3,3/21,"Ղ.Սարյանի անվան թիվ 1 արվեստի դպրոց, Դրոյի 4 ա"
Երևան,Քանաքեռ-Զեյթուն,,3,3/22,"Մ.Մանուշյանի անվան թիվ 48 դպրոց, Դրոյի 11"
Երևան,Քանաքեռ-Զեյթուն,,3,3/23,"Թիվ 147 դպրոց, Կ.Ուլնեցու 1"
Երևան,Քանաքեռ-Զեյթուն,,3,3/24,"Երևանի Զարդարվեստի պետական արհեստագործական ուսումնարան ՊՈԱԿ, Հր.Ներսիսյան 3"
Երևան,Քանաքեռ-Զեյթուն,,3,3/25,"Թիվ 155 մանկապարտեզ, Վ.Վահյան 1"
Երևան,Քանաքեռ-Զեյթուն,,3,3/26,"Հ.Պարոնյանի անվան թիվ 59 դպրոց, Վարշավյան 45"
Երևան,Քանաքեռ-Զեյթուն,,3,3/27,"Հումանիտար տեխնիկական քոլեջ, Ա.Տիգրանյան 21"
Երևան,Քանաքեռ-Զեյթուն,,3,3/28,"Թիվ 152 մանկապարտեզ, Ազատության 4 ա"
Երևան,Քանաքեռ-Զեյթուն,,3,3/29,"ՀՊՏՀ Զեյթունի մասնաճյուղ Տնտեսական ինֆորմ. և տեղեկատվական համակարգերի ամբիոն, Պ.Սևակի 77"
Երևան,Քանաքեռ-Զեյթուն,,3,3/30,"Կ.Զարյանի անվան թիվ 117 հիմնական դպրոց, Ֆանարջյան 15"
Երևան,Քանաքեռ-Զեյթուն,,3,3/31,"Կ.Զարյանի անվան թիվ 117 հիմնական դպրոց, Ֆանարջյան 15"
Երևան,Քանաքեռ-Զեյթուն,,3,3/32,"Կենտրոնացված գրադարանային համալիր, Դրոյի 16 Ա "
Երևան,Արաբկիր,,4,4/1,Թիվ 37 դպրոց Քանաքեռ ՀԷԿ Բանավան 14
Երևան,Արաբկիր,,4,4/2,Թիվ 24 մանկապարտեզ Քանաքեռ ՀԷԿ Ղափանցյան 12/3
Երևան,Արաբկիր,,4,4/3,Ռ. Միրզոյան անվան թիվ 77 դպրոց Ադոնցի 11
Երևան,Արաբկիր,,4,4/4,Թիվ 6 գրադարան Քանաքեռ ՀԷԿ 4/1
Երևան,Արաբկիր,,4,4/5,Արաբկիրի մշակույթի տուն Ազատության 19
Երևան,Արաբկիր,,4,4/6,Սարաջյանի անվան երաժշտական դպրոց Մամիկոնյանց 34Բ
Երևան,Արաբկիր,,4,4/7,Մ. Քաջունու անվան թիվ 54 դպրոց Ն. Տիգրանյան 12
Երևան,Արաբկիր,,4,4/8,Երևանի պետական հումանիտար քոլեջ Արղության 1
Երևան,Արաբկիր,,4,4/9,Հ. Պողոսյանի անվան թիվ 82 դպրոց Մամիկոնյանց 33
Երևան,Արաբկիր,,4,4/10,Կույրերի մշակույթի տուն Ն. Տիգրանյան 15
Երևան,Արաբկիր,,4,4/11,Վ. Պետրոսյանի անվան թիվ 51 դպրոց Ն. Զարյան 23
Երևան,Արաբկիր,,4,4/12,Լև Տոլստոյի անվան թիվ 128 դպրոց Ազատության 5
Երևան,Արաբկիր,,4,4/13,Լև Տոլստոյի անվան թիվ 128 դպրոց Ազատության 5
Երևան,Արաբկիր,,4,4/14,Ռ. Սևակի անվան թիվ 151 դպրոց Բաբայան 40
Երևան,Արաբկիր,,4,4/15,Ռ. Սևակի անվան թիվ 151 դպրոց Բաբայան 40
Երևան,Արաբկիր,,4,4/16,Երնորոգնախագիծ ինստիտուտ Ն. Զարյան 22
Երևան,Արաբկիր,,4,4/17,Վ. Պետրոսյանի անվան թիվ 51 դպրոց Ն. Զարյան 23
Երևան,Արաբկիր,,4,4/18,Երևան մանկապատանեկան համալիր մարզադպրոց Կոմիտաս 37
Երևան,Արաբկիր,,4,4/19,Րաֆֆու անվան թիվ 36 դպրոց Կոմիտաս 37
Երևան,Արաբկիր,,4,4/20,Իսակովի անվան թիվ 132 դպրոց Ա. Խաչատրյան 28
Երևան,Արաբկիր,,4,4/21,Թիվ 33 մանկապարտեզ Ա. Խաչատրյան 28/1
Երևան,Արաբկիր,,4,4/22,«Հայերկրաբան» Ա/Մ կենտրոն լաբարատորիա Կոմիտաս 29
Երևան,Արաբկիր,,4,4/23,Թիվ 29 մանկապարտեզ Կոմիտաս 30
Երևան,Արաբկիր,,4,4/24,Գայի անվան թիվ 129 դպրոց Հր. Քոչարի 29
Երևան,Արաբկիր,,4,4/25,Գայի անվան թիվ 129 դպրոց Հր. Քոչարի 29
Երևան,Արաբկիր,,4,4/26,Թիվ 26 մանկապարտեզ Փափազյան 8
Երևան,Արաբկիր,,4,4/27,Թիվ 26 մանկապարտեզ Փափազյան 8 
Երևան,Արաբկիր,,4,4/28,Մ. Գալշոյանի անվան թիվ 148 դպրոց Սունդուկյան 78
